resource_id,activity_id,shift_day,start_travel_time,activity_start,activity_end,duration,expected_travel_time
R17,A98,2024-06-11,2024-06-11 09:12:45+00:00,2024-06-11 09:16:15+00:00,2024-06-11 10:16:15+00:00,0 days 01:00:00,0 days 00:03:30
R17,A24,2024-06-11,2024-06-11 10:16:15+00:00,2024-06-11 10:21:55+00:00,2024-06-11 11:21:55+00:00,0 days 01:00:00,0 days 00:05:40
R17,A34,2024-06-11,2024-06-11 11:21:55+00:00,2024-06-11 11:28:22+00:00,2024-06-11 12:28:22+00:00,0 days 01:00:00,0 days 00:06:27
R17,A6,2024-06-11,2024-06-11 12:28:22+00:00,2024-06-11 12:35:58+00:00,2024-06-11 13:35:58+00:00,0 days 01:00:00,0 days 00:07:36
R17,A53,2024-06-11,2024-06-11 13:35:58+00:00,2024-06-11 13:44:35+00:00,2024-06-11 14:44:35+00:00,0 days 01:00:00,0 days 00:08:37
R17,TRAVEL_HOME,2024-06-11,2024-06-11 14:53:43+00:00,2024-06-11 15:00:00+00:00,,0,0 days 00:06:17
R18,A19,2024-06-11,2024-06-11 07:00:00+00:00,2024-06-11 07:05:22+00:00,2024-06-11 08:05:22+00:00,0 days 01:00:00,0 days 00:05:22
R18,A108,2024-06-11,2024-06-11 08:05:22+00:00,2024-06-11 08:11:46+00:00,2024-06-11 09:11:46+00:00,0 days 01:00:00,0 days 00:06:24
R18,A9,2024-06-11,2024-06-11 09:11:46+00:00,2024-06-11 09:13:40+00:00,2024-06-11 10:13:40+00:00,0 days 01:00:00,0 days 00:01:54
R18,A76,2024-06-11,2024-06-11 10:13:40+00:00,2024-06-11 10:19:19+00:00,2024-06-11 11:19:19+00:00,0 days 01:00:00,0 days 00:05:39
R18,A94,2024-06-11,2024-06-11 11:19:19+00:00,2024-06-11 11:21:19+00:00,2024-06-11 12:21:19+00:00,0 days 01:00:00,0 days 00:02:00
R18,A79,2024-06-11,2024-06-11 12:21:19+00:00,2024-06-11 12:22:13+00:00,2024-06-11 13:22:13+00:00,0 days 01:00:00,0 days 00:00:54
R18,A81,2024-06-11,2024-06-11 13:22:13+00:00,2024-06-11 13:32:17+00:00,2024-06-11 14:32:17+00:00,0 days 01:00:00,0 days 00:10:04
R18,TRAVEL_HOME,2024-06-11,2024-06-11 14:52:27+00:00,2024-06-11 15:00:00+00:00,,0,0 days 00:07:33
R19,A124,2024-06-11,2024-06-11 07:00:00+00:00,2024-06-11 07:11:09+00:00,2024-06-11 08:11:09+00:00,0 days 01:00:00,0 days 00:11:09
R19,A103,2024-06-11,2024-06-11 08:11:09+00:00,2024-06-11 08:26:50+00:00,2024-06-11 09:26:50+00:00,0 days 01:00:00,0 days 00:15:41
R19,A48,2024-06-11,2024-06-11 09:26:50+00:00,2024-06-11 09:29:45+00:00,2024-06-11 10:29:45+00:00,0 days 01:00:00,0 days 00:02:55
R19,A12,2024-06-11,,2024-06-11 09:31:34+00:00,2024-06-11 10:31:34+00:00,0 days 01:00:00,0 days 00:00:00
R19,A66,2024-06-11,2024-06-11 10:31:34+00:00,2024-06-11 10:33:34+00:00,2024-06-11 11:33:34+00:00,0 days 01:00:00,0 days 00:02:00
R19,A112,2024-06-11,2024-06-11 11:33:34+00:00,2024-06-11 11:41:50+00:00,2024-06-11 12:41:50+00:00,0 days 01:00:00,0 days 00:08:16
R19,A21,2024-06-11,2024-06-11 12:41:50+00:00,2024-06-11 12:52:32+00:00,2024-06-11 13:52:32+00:00,0 days 01:00:00,0 days 00:10:42
R19,TRAVEL_HOME,2024-06-11,2024-06-11 14:39:39+00:00,2024-06-11 15:00:00+00:00,,0,0 days 00:20:21
R2,A123,2024-06-11,2024-06-11 07:00:00+00:00,2024-06-11 07:12:41+00:00,2024-06-11 08:12:41+00:00,0 days 01:00:00,0 days 00:12:41
R2,A27,2024-06-11,2024-06-11 08:12:41+00:00,2024-06-11 08:22:16+00:00,2024-06-11 09:22:16+00:00,0 days 01:00:00,0 days 00:09:35
R2,A73,2024-06-11,2024-06-11 09:22:16+00:00,2024-06-11 09:25:13+00:00,2024-06-11 10:25:13+00:00,0 days 01:00:00,0 days 00:02:57
R2,A82,2024-06-11,2024-06-11 10:25:13+00:00,2024-06-11 10:28:24+00:00,2024-06-11 11:28:24+00:00,0 days 01:00:00,0 days 00:03:11
R2,A43,2024-06-11,2024-06-11 11:28:24+00:00,2024-06-11 11:35:59+00:00,2024-06-11 12:35:59+00:00,0 days 01:00:00,0 days 00:07:35
R2,A80,2024-06-11,2024-06-11 12:35:59+00:00,2024-06-11 12:40:30+00:00,2024-06-11 13:40:30+00:00,0 days 01:00:00,0 days 00:04:31
R2,A54,2024-06-11,2024-06-11 13:40:30+00:00,2024-06-11 13:44:13+00:00,2024-06-11 14:44:13+00:00,0 days 01:00:00,0 days 00:03:43
R2,TRAVEL_HOME,2024-06-11,2024-06-11 14:57:51+00:00,2024-06-11 15:00:00+00:00,,0,0 days 00:02:09
R3,A36,2024-06-11,2024-06-11 07:00:00+00:00,2024-06-11 07:07:56+00:00,2024-06-11 08:07:56+00:00,0 days 01:00:00,0 days 00:07:56
R3,A72,2024-06-11,2024-06-11 08:07:56+00:00,2024-06-11 08:23:59+00:00,2024-06-11 09:23:59+00:00,0 days 01:00:00,0 days 00:16:03
R3,A129,2024-06-11,,2024-06-11 08:40:00+00:00,2024-06-11 09:40:00+00:00,0 days 01:00:00,0 days 00:00:00
R3,A38,2024-06-11,2024-06-11 09:40:00+00:00,2024-06-11 10:02:16+00:00,2024-06-11 11:02:16+00:00,0 days 01:00:00,0 days 00:22:16
R3,A109,2024-06-11,2024-06-11 11:02:16+00:00,2024-06-11 11:12:56+00:00,2024-06-11 12:12:56+00:00,0 days 01:00:00,0 days 00:10:40
R3,A99,2024-06-11,2024-06-11 12:12:56+00:00,2024-06-11 12:22:47+00:00,2024-06-11 13:22:47+00:00,0 days 01:00:00,0 days 00:09:51
R3,A52,2024-06-11,2024-06-11 13:22:47+00:00,2024-06-11 13:37:02+00:00,2024-06-11 14:37:02+00:00,0 days 01:00:00,0 days 00:14:15
R3,TRAVEL_HOME,2024-06-11,2024-06-11 14:54:05+00:00,2024-06-11 15:00:00+00:00,,0,0 days 00:05:55
R4,A64,2024-06-11,2024-06-11 07:00:00+00:00,2024-06-11 07:03:51+00:00,2024-06-11 08:03:51+00:00,0 days 01:00:00,0 days 00:03:51
R4,A92,2024-06-11,2024-06-11 08:03:51+00:00,2024-06-11 08:11:02+00:00,2024-06-11 09:11:02+00:00,0 days 01:00:00,0 days 00:07:11
R4,A111,2024-06-11,2024-06-11 09:11:02+00:00,2024-06-11 09:16:10+00:00,2024-06-11 10:16:10+00:00,0 days 01:00:00,0 days 00:05:08
R4,A15,2024-06-11,2024-06-11 10:16:10+00:00,2024-06-11 10:21:10+00:00,2024-06-11 11:21:10+00:00,0 days 01:00:00,0 days 00:05:00
R4,A119,2024-06-11,2024-06-11 11:21:10+00:00,2024-06-11 11:24:26+00:00,2024-06-11 12:24:26+00:00,0 days 01:00:00,0 days 00:03:16
R4,A67,2024-06-11,2024-06-11 12:24:26+00:00,2024-06-11 12:26:12+00:00,2024-06-11 13:26:12+00:00,0 days 01:00:00,0 days 00:01:46
R4,A5,2024-06-11,2024-06-11 13:26:12+00:00,2024-06-11 13:40:37+00:00,2024-06-11 14:40:37+00:00,0 days 01:00:00,0 days 00:14:25
R4,TRAVEL_HOME,2024-06-11,2024-06-11 14:54:15+00:00,2024-06-11 15:00:00+00:00,,0,0 days 00:05:45
R5,A121,2024-06-11,2024-06-11 07:00:00+00:00,2024-06-11 07:18:34+00:00,2024-06-11 08:18:34+00:00,0 days 01:00:00,0 days 00:18:34
R5,A18,2024-06-11,2024-06-11 08:18:34+00:00,2024-06-11 08:29:13+00:00,2024-06-11 09:29:13+00:00,0 days 01:00:00,0 days 00:10:39
R5,A75,2024-06-11,2024-06-11 09:29:13+00:00,2024-06-11 09:37:20+00:00,2024-06-11 10:37:20+00:00,0 days 01:00:00,0 days 00:08:07
R5,A100,2024-06-11,2024-06-11 10:37:20+00:00,2024-06-11 10:39:35+00:00,2024-06-11 11:39:35+00:00,0 days 01:00:00,0 days 00:02:15
R5,A11,2024-06-11,2024-06-11 11:39:35+00:00,2024-06-11 11:53:12+00:00,2024-06-11 12:53:12+00:00,0 days 01:00:00,0 days 00:13:37
R5,A17,2024-06-11,2024-06-11 12:53:12+00:00,2024-06-11 13:03:32+00:00,2024-06-11 14:03:32+00:00,0 days 01:00:00,0 days 00:10:20
R5,TRAVEL_HOME,2024-06-11,2024-06-11 14:52:17+00:00,2024-06-11 15:00:00+00:00,,0,0 days 00:07:43
R6,A26,2024-06-11,2024-06-11 07:00:00+00:00,2024-06-11 07:06:44+00:00,2024-06-11 08:06:44+00:00,0 days 01:00:00,0 days 00:06:44
R6,A44,2024-06-11,2024-06-11 08:06:44+00:00,2024-06-11 08:11:54+00:00,2024-06-11 09:11:54+00:00,0 days 01:00:00,0 days 00:05:10
R6,A28,2024-06-11,2024-06-11 09:11:54+00:00,2024-06-11 09:14:09+00:00,2024-06-11 10:14:09+00:00,0 days 01:00:00,0 days 00:02:15
R6,A101,2024-06-11,2024-06-11 10:14:09+00:00,2024-06-11 10:14:43+00:00,2024-06-11 11:14:43+00:00,0 days 01:00:00,0 days 00:00:34
R6,A113,2024-06-11,2024-06-11 11:14:43+00:00,2024-06-11 11:17:03+00:00,2024-06-11 12:17:03+00:00,0 days 01:00:00,0 days 00:02:20
R6,A71,2024-06-11,2024-06-11 12:17:03+00:00,2024-06-11 12:21:29+00:00,2024-06-11 13:21:29+00:00,0 days 01:00:00,0 days 00:04:26
R6,A40,2024-06-11,2024-06-11 13:21:29+00:00,2024-06-11 13:27:02+00:00,2024-06-11 14:27:02+00:00,0 days 01:00:00,0 days 00:05:33
R6,TRAVEL_HOME,2024-06-11,2024-06-11 14:53:39+00:00,2024-06-11 15:00:00+00:00,,0,0 days 00:06:21
R7,A85,2024-06-11,2024-06-11 07:00:00+00:00,2024-06-11 07:04:48+00:00,2024-06-11 08:04:48+00:00,0 days 01:00:00,0 days 00:04:48
R7,A4,2024-06-11,2024-06-11 08:04:48+00:00,2024-06-11 08:11:19+00:00,2024-06-11 09:11:19+00:00,0 days 01:00:00,0 days 00:06:31
R7,A70,2024-06-11,2024-06-11 09:11:19+00:00,2024-06-11 09:19:37+00:00,2024-06-11 10:19:37+00:00,0 days 01:00:00,0 days 00:08:18
R7,A114,2024-06-11,2024-06-11 10:19:37+00:00,2024-06-11 10:20:11+00:00,2024-06-11 11:20:11+00:00,0 days 01:00:00,0 days 00:00:34
R7,A2,2024-06-11,2024-06-11 11:20:11+00:00,2024-06-11 11:25:21+00:00,2024-06-11 12:25:21+00:00,0 days 01:00:00,0 days 00:05:10
R7,A130,2024-06-11,2024-06-11 12:25:21+00:00,2024-06-11 12:33:03+00:00,2024-06-11 13:33:03+00:00,0 days 01:00:00,0 days 00:07:42
R7,A131,2024-06-11,2024-06-11 13:33:03+00:00,2024-06-11 13:42:27+00:00,2024-06-11 14:42:27+00:00,0 days 01:00:00,0 days 00:09:24
R7,TRAVEL_HOME,2024-06-11,2024-06-11 14:51:02+00:00,2024-06-11 15:00:00+00:00,,0,0 days 00:08:58
R8,A74,2024-06-11,2024-06-11 07:00:00+00:00,2024-06-11 07:01:18+00:00,2024-06-11 08:01:18+00:00,0 days 01:00:00,0 days 00:01:18
R8,A45,2024-06-11,2024-06-11 08:01:18+00:00,2024-06-11 08:03:12+00:00,2024-06-11 09:03:12+00:00,0 days 01:00:00,0 days 00:01:54
R8,A91,2024-06-11,2024-06-11 09:03:12+00:00,2024-06-11 09:10:09+00:00,2024-06-11 10:10:09+00:00,0 days 01:00:00,0 days 00:06:57
R8,A61,2024-06-11,2024-06-11 10:10:09+00:00,2024-06-11 10:12:20+00:00,2024-06-11 11:12:20+00:00,0 days 01:00:00,0 days 00:02:11
R8,A69,2024-06-11,2024-06-11 11:12:20+00:00,2024-06-11 11:15:23+00:00,2024-06-11 12:15:23+00:00,0 days 01:00:00,0 days 00:03:03
R8,A62,2024-06-11,2024-06-11 12:15:23+00:00,2024-06-11 12:20:03+00:00,2024-06-11 13:20:03+00:00,0 days 01:00:00,0 days 00:04:40
R8,A47,2024-06-11,2024-06-11 13:20:03+00:00,2024-06-11 13:23:06+00:00,2024-06-11 14:23:06+00:00,0 days 01:00:00,0 days 00:03:03
R8,TRAVEL_HOME,2024-06-11,2024-06-11 14:57:33+00:00,2024-06-11 15:00:00+00:00,,0,0 days 00:02:27
R9,A63,2024-06-11,2024-06-11 07:00:00+00:00,2024-06-11 07:02:14+00:00,2024-06-11 08:02:14+00:00,0 days 01:00:00,0 days 00:02:14
R9,A3,2024-06-11,2024-06-11 08:02:14+00:00,2024-06-11 08:06:58+00:00,2024-06-11 09:06:58+00:00,0 days 01:00:00,0 days 00:04:44
R9,A29,2024-06-11,2024-06-11 09:06:58+00:00,2024-06-11 09:17:59+00:00,2024-06-11 10:17:59+00:00,0 days 01:00:00,0 days 00:11:01
R9,A84,2024-06-11,2024-06-11 10:17:59+00:00,2024-06-11 10:23:06+00:00,2024-06-11 11:23:06+00:00,0 days 01:00:00,0 days 00:05:07
R9,A58,2024-06-11,2024-06-11 11:23:06+00:00,2024-06-11 11:27:55+00:00,2024-06-11 12:27:55+00:00,0 days 01:00:00,0 days 00:04:49
R9,A68,2024-06-11,2024-06-11 12:27:55+00:00,2024-06-11 12:36:15+00:00,2024-06-11 13:36:15+00:00,0 days 01:00:00,0 days 00:08:20
R9,A59,2024-06-11,2024-06-11 13:36:15+00:00,2024-06-11 13:43:52+00:00,2024-06-11 14:43:52+00:00,0 days 01:00:00,0 days 00:07:37
R9,TRAVEL_HOME,2024-06-11,2024-06-11 14:55:50+00:00,2024-06-11 15:00:00+00:00,,0,0 days 00:04:10
